id,Level 1,Level 2,Level 3,Column Text,UOM,GHG,GHG Conversion Factor 2017,valid_from,valid_to
136,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Net CV,kWh (Net CV),kg N2O,0.00212,2017-01-01 00:00:00,2017-12-31 23:59:59
137,Fuels,Liquid fuels,Diesel (average biofuel blend),Volume,litres,kg CO2e,2.60016,2017-01-01 00:00:00,2017-12-31 23:59:59
138,Fuels,Liquid fuels,Diesel (average biofuel blend),Volume,litres,kg CH4,0.00052,2017-01-01 00:00:00,2017-12-31 23:59:59
139,Fuels,Liquid fuels,Diesel (average biofuel blend),Volume,litres,kg CO2,2.57843,2017-01-01 00:00:00,2017-12-31 23:59:59
140,Fuels,Liquid fuels,Diesel (average biofuel blend),Volume,litres,kg N2O,0.02122,2017-01-01 00:00:00,2017-12-31 23:59:59
141,Fuels,Liquid fuels,Diesel (average biofuel blend),Tonnes,tonnes,kg CO2e,3099.41081,2017-01-01 00:00:00,2017-12-31 23:59:59
142,Fuels,Liquid fuels,Diesel (average biofuel blend),Tonnes,tonnes,kg CH4,0.61707,2017-01-01 00:00:00,2017-12-31 23:59:59
143,Fuels,Liquid fuels,Diesel (average biofuel blend),Tonnes,tonnes,kg CO2,3073.45725,2017-01-01 00:00:00,2017-12-31 23:59:59
144,Fuels,Liquid fuels,Diesel (average biofuel blend),Tonnes,tonnes,kg N2O,25.33649,2017-01-01 00:00:00,2017-12-31 23:59:59
145,Fuels,Liquid fuels,Diesel (100% mineral diesel),Energy - Gross CV,kWh (Gross CV),kg CO2e,0.25146,2017-01-01 00:00:00,2017-12-31 23:59:59
146,Fuels,Liquid fuels,Diesel (100% mineral diesel),Energy - Gross CV,kWh (Gross CV),kg CH4,0.00005,2017-01-01 00:00:00,2017-12-31 23:59:59
147,Fuels,Liquid fuels,Diesel (100% mineral diesel),Energy - Gross CV,kWh (Gross CV),kg CO2,0.24941,2017-01-01 00:00:00,2017-12-31 23:59:59
148,Fuels,Liquid fuels,Diesel (100% mineral diesel),Energy - Gross CV,kWh (Gross CV),kg N2O,0.002,2017-01-01 00:00:00,2017-12-31 23:59:59
149,Fuels,Liquid fuels,Diesel (100% mineral diesel),Energy - Net CV,kWh (Net CV),kg CO2e,0.26751,2017-01-01 00:00:00,2017-12-31 23:59:59
150,Fuels,Liquid fuels,Diesel (100% mineral diesel),Energy - Net CV,kWh (Net CV),kg CH4,0.00005,2017-01-01 00:00:00,2017-12-31 23:59:59
151,Fuels,Liquid fuels,Diesel (100% mineral diesel),Energy - Net CV,kWh (Net CV),kg CO2,0.26533,2017-01-01 00:00:00,2017-12-31 23:59:59
152,Fuels,Liquid fuels,Diesel (100% mineral diesel),Energy - Net CV,kWh (Net CV),kg N2O,0.00212,2017-01-01 00:00:00,2017-12-31 23:59:59
153,Fuels,Liquid fuels,Diesel (100% mineral diesel),Volume,litres,kg CO2e,2.67193,2017-01-01 00:00:00,2017-12-31 23:59:59
154,Fuels,Liquid fuels,Diesel (100% mineral diesel),Volume,litres,kg CH4,0.00052,2017-01-01 00:00:00,2017-12-31 23:59:59
155,Fuels,Liquid fuels,Diesel (100% mineral diesel),Volume,litres,kg CO2,2.6502,2017-01-01 00:00:00,2017-12-31 23:59:59
156,Fuels,Liquid fuels,Diesel (100% mineral diesel),Volume,litres,kg N2O,0.02122,2017-01-01 00:00:00,2017-12-31 23:59:59
157,Fuels,Liquid fuels,Diesel (100% mineral diesel),Tonnes,tonnes,kg CO2e,3190.2869,2017-01-01 00:00:00,2017-12-31 23:59:59
