id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2014,valid_from,valid_to
2014_96,Fuels,Solid,Biomass Fuels,short ton,short ton,kg CO2,Agricultural Byproducts,975,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_97,Fuels,Solid,Biomass Fuels,short ton,short ton,g CH4,Agricultural Byproducts,264,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_98,Fuels,Solid,Biomass Fuels,short ton,short ton,g N2O,Agricultural Byproducts,35,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_99,Fuels,Solid,Biomass Fuels,short ton,short ton,mmbtu,Peat,8,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_100,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,kg CO2,Peat,111.84,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_101,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,g CH4,Peat,32,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_102,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,g N2O,Peat,4.2,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_103,Fuels,Solid,Biomass Fuels,short ton,short ton,kg CO2,Peat,895,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_104,Fuels,Solid,Biomass Fuels,short ton,short ton,g CH4,Peat,256,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_105,Fuels,Solid,Biomass Fuels,short ton,short ton,g N2O,Peat,34,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_106,Fuels,Solid,Biomass Fuels,short ton,short ton,mmbtu,Solid Byproducts,10.39,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_107,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,kg CO2,Solid Byproducts,105.51,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_108,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,g CH4,Solid Byproducts,32,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_109,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,g N2O,Solid Byproducts,4.2,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_110,Fuels,Solid,Biomass Fuels,short ton,short ton,kg CO2,Solid Byproducts,1096,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_111,Fuels,Solid,Biomass Fuels,short ton,short ton,g CH4,Solid Byproducts,332,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_112,Fuels,Solid,Biomass Fuels,short ton,short ton,g N2O,Solid Byproducts,44,2014-01-01 00:00:00,2014-12-31 23:59:59
