id,Scope,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2021,valid_from,valid_to
109,Scope1,Fuels,Gaseous fuels,Propane,Tonnes,tonnes,tonnes,kg CH4,Propane tonnes,2.31,2021-01-01 00:00:00,2021-12-31 23:59:59
110,Scope1,Fuels,Gaseous fuels,Propane,Tonnes,tonnes,tonnes,kg CO2,Propane tonnes,2993.4,2021-01-01 00:00:00,2021-12-31 23:59:59
111,Scope1,Fuels,Gaseous fuels,Propane,Tonnes,tonnes,tonnes,kg N2O,Propane tonnes,1.85,2021-01-01 00:00:00,2021-12-31 23:59:59
112,Scope1,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation spirit kWh (Gross CV),0.24375,2021-01-01 00:00:00,2021-12-31 23:59:59
113,Scope1,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Aviation spirit kWh (Gross CV),0.00269,2021-01-01 00:00:00,2021-12-31 23:59:59
114,Scope1,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Aviation spirit kWh (Gross CV),0.23878,2021-01-01 00:00:00,2021-12-31 23:59:59
115,Scope1,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Aviation spirit kWh (Gross CV),0.00228,2021-01-01 00:00:00,2021-12-31 23:59:59
116,Scope1,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation spirit kWh (Net CV),0.25658,2021-01-01 00:00:00,2021-12-31 23:59:59
117,Scope1,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Aviation spirit kWh (Net CV),0.00284,2021-01-01 00:00:00,2021-12-31 23:59:59
118,Scope1,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Aviation spirit kWh (Net CV),0.25135,2021-01-01 00:00:00,2021-12-31 23:59:59
119,Scope1,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Aviation spirit kWh (Net CV),0.00239,2021-01-01 00:00:00,2021-12-31 23:59:59
120,Scope1,Fuels,Liquid fuels,Aviation spirit,Volume,litres,litres,kg CO2e,Aviation spirit litres,2.33048,2021-01-01 00:00:00,2021-12-31 23:59:59
121,Scope1,Fuels,Liquid fuels,Aviation spirit,Volume,litres,litres,kg CH4,Aviation spirit litres,0.02576,2021-01-01 00:00:00,2021-12-31 23:59:59
122,Scope1,Fuels,Liquid fuels,Aviation spirit,Volume,litres,litres,kg CO2,Aviation spirit litres,2.28297,2021-01-01 00:00:00,2021-12-31 23:59:59
123,Scope1,Fuels,Liquid fuels,Aviation spirit,Volume,litres,litres,kg N2O,Aviation spirit litres,0.02175,2021-01-01 00:00:00,2021-12-31 23:59:59
124,Scope1,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,tonnes,kg CO2e,Aviation spirit tonnes,3192.76,2021-01-01 00:00:00,2021-12-31 23:59:59
125,Scope1,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,tonnes,kg CH4,Aviation spirit tonnes,35.29,2021-01-01 00:00:00,2021-12-31 23:59:59
126,Scope1,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,tonnes,kg CO2,Aviation spirit tonnes,3127.67,2021-01-01 00:00:00,2021-12-31 23:59:59
127,Scope1,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,tonnes,kg N2O,Aviation spirit tonnes,29.8,2021-01-01 00:00:00,2021-12-31 23:59:59
128,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation turbine fuel kWh (Gross CV),0.24782,2021-01-01 00:00:00,2021-12-31 23:59:59
129,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Aviation turbine fuel kWh (Gross CV),0.00015,2021-01-01 00:00:00,2021-12-31 23:59:59
130,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Aviation turbine fuel kWh (Gross CV),0.24535,2021-01-01 00:00:00,2021-12-31 23:59:59
131,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Aviation turbine fuel kWh (Gross CV),0.00232,2021-01-01 00:00:00,2021-12-31 23:59:59
132,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation turbine fuel kWh (Net CV),0.26086,2021-01-01 00:00:00,2021-12-31 23:59:59
133,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Aviation turbine fuel kWh (Net CV),0.00016,2021-01-01 00:00:00,2021-12-31 23:59:59
134,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Aviation turbine fuel kWh (Net CV),0.25826,2021-01-01 00:00:00,2021-12-31 23:59:59
135,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Aviation turbine fuel kWh (Net CV),0.00244,2021-01-01 00:00:00,2021-12-31 23:59:59
136,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,litres,kg CO2e,Aviation turbine fuel litres,2.54514,2021-01-01 00:00:00,2021-12-31 23:59:59
137,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,litres,kg CH4,Aviation turbine fuel litres,0.00157,2021-01-01 00:00:00,2021-12-31 23:59:59
138,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,litres,kg CO2,Aviation turbine fuel litres,2.51973,2021-01-01 00:00:00,2021-12-31 23:59:59
139,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,litres,kg N2O,Aviation turbine fuel litres,0.02384,2021-01-01 00:00:00,2021-12-31 23:59:59
140,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,tonnes,kg CO2e,Aviation turbine fuel tonnes,3181.43,2021-01-01 00:00:00,2021-12-31 23:59:59
141,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,tonnes,kg CH4,Aviation turbine fuel tonnes,1.96,2021-01-01 00:00:00,2021-12-31 23:59:59
142,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,tonnes,kg CO2,Aviation turbine fuel tonnes,3149.67,2021-01-01 00:00:00,2021-12-31 23:59:59
143,Scope1,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,tonnes,kg N2O,Aviation turbine fuel tonnes,29.8,2021-01-01 00:00:00,2021-12-31 23:59:59
144,Scope1,Fuels,Liquid fuels,Burning oil,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Burning oil kWh (Gross CV),0.24677,2021-01-01 00:00:00,2021-12-31 23:59:59
